label,label_name,stage_sequence,count
0,기관사칭,위협_사건제시 -> 추가지시_마무리 -> 권위_사칭 -> 정보확보_인증 -> 통제_압박,3
0,기관사칭,정보확보_인증 -> 위협_사건제시 -> 통제_압박 -> 추가지시_마무리 -> 권위_사칭,2
0,기관사칭,추가지시_마무리 -> 위협_사건제시 -> 정보확보_인증 -> 통제_압박 -> 권위_사칭,2
0,기관사칭,권위_사칭 -> 위협_사건제시 -> 추가지시_마무리 -> 통제_압박,2
0,기관사칭,통제_압박 -> 정보확보_인증 -> 권위_사칭 -> 위협_사건제시 -> 추가지시_마무리,2
0,기관사칭,위협_사건제시 -> 추가지시_마무리,2
0,기관사칭,위협_사건제시 -> 통제_압박 -> 권위_사칭 -> 정보확보_인증 -> 추가지시_마무리,2
0,기관사칭,정보확보_인증 -> 금전요구 -> 위협_사건제시 -> 추가지시_마무리 -> 권위_사칭 -> 통제_압박,2
0,기관사칭,권위_사칭 -> 위협_사건제시 -> 통제_압박 -> 추가지시_마무리 -> 금전요구 -> 정보확보_인증,2
0,기관사칭,권위_사칭 -> 위협_사건제시 -> 통제_압박 -> 정보확보_인증 -> 금전요구 -> 추가지시_마무리,2
0,기관사칭,권위_사칭 -> 위협_사건제시 -> 추가지시_마무리 -> 통제_압박 -> 정보확보_인증,2
0,기관사칭,위협_사건제시 -> 통제_압박 -> 추가지시_마무리 -> 정보확보_인증 -> 권위_사칭,2
0,기관사칭,권위_사칭 -> 위협_사건제시 -> 통제_압박 -> 정보확보_인증 -> 추가지시_마무리,2
0,기관사칭,위협_사건제시 -> 권위_사칭 -> 금전요구 -> 추가지시_마무리 -> 정보확보_인증 -> 통제_압박,2
0,기관사칭,위협_사건제시 -> 권위_사칭,2
0,기관사칭,정보확보_인증 -> 위협_사건제시 -> 추가지시_마무리 -> 권위_사칭 -> 통제_압박,2
0,기관사칭,정보확보_인증 -> 위협_사건제시 -> 통제_압박 -> 추가지시_마무리,2
0,기관사칭,위협_사건제시 -> 정보확보_인증 -> 추가지시_마무리 -> 권위_사칭 -> 통제_압박 -> 금전요구,2
0,기관사칭,정보확보_인증 -> 추가지시_마무리 -> 위협_사건제시,2
0,기관사칭,권위_사칭 -> 위협_사건제시 -> 통제_압박 -> 정보확보_인증 -> 추가지시_마무리 -> 금전요구,2
0,기관사칭,위협_사건제시 -> 권위_사칭 -> 추가지시_마무리 -> 통제_압박 -> 정보확보_인증,2
0,기관사칭,위협_사건제시 -> 통제_압박 -> 정보확보_인증 -> 추가지시_마무리 -> 권위_사칭,2
0,기관사칭,위협_사건제시,2
0,기관사칭,정보확보_인증 -> 추가지시_마무리 -> 위협_사건제시 -> 권위_사칭 -> 통제_압박 -> 금전요구,2
0,기관사칭,위협_사건제시 -> 권위_사칭 -> 정보확보_인증 -> 추가지시_마무리,2
0,기관사칭,권위_사칭 -> 위협_사건제시 -> 통제_압박 -> 추가지시_마무리 -> 정보확보_인증,2
0,기관사칭,정보확보_인증 -> 위협_사건제시 -> 권위_사칭 -> 추가지시_마무리 -> 통제_압박,2
0,기관사칭,정보확보_인증 -> 위협_사건제시 -> 권위_사칭 -> 추가지시_마무리 -> 금전요구 -> 통제_압박,2
0,기관사칭,정보확보_인증 -> 위협_사건제시 -> 금전요구 -> 추가지시_마무리 -> 권위_사칭 -> 통제_압박,2
0,기관사칭,위협_사건제시 -> 정보확보_인증 -> 추가지시_마무리 -> 금전요구 -> 권위_사칭 -> 통제_압박,2
0,기관사칭,위협_사건제시 -> 정보확보_인증 -> 추가지시_마무리,2
0,기관사칭,권위_사칭 -> 정보확보_인증 -> 위협_사건제시 -> 추가지시_마무리 -> 통제_압박,2
0,기관사칭,정보확보_인증 -> 통제_압박 -> 추가지시_마무리,2
0,기관사칭,위협_사건제시 -> 권위_사칭 -> 정보확보_인증 -> 추가지시_마무리 -> 통제_압박,2
0,기관사칭,권위_사칭 -> 추가지시_마무리 -> 위협_사건제시 -> 정보확보_인증,2
0,기관사칭,위협_사건제시 -> 권위_사칭 -> 추가지시_마무리 -> 통제_압박,1
0,기관사칭,통제_압박 -> 권위_사칭 -> 위협_사건제시 -> 정보확보_인증 -> 추가지시_마무리,1
0,기관사칭,추가지시_마무리 -> 위협_사건제시 -> 통제_압박 -> 정보확보_인증 -> 권위_사칭,1
0,기관사칭,권위_사칭 -> 정보확보_인증 -> 위협_사건제시 -> 통제_압박,1
0,기관사칭,권위_사칭 -> 정보확보_인증 -> 위협_사건제시 -> 통제_압박 -> 추가지시_마무리 -> 금전요구,1
0,기관사칭,추가지시_마무리 -> 위협_사건제시 -> 정보확보_인증 -> 통제_압박,1
0,기관사칭,권위_사칭 -> 통제_압박 -> 위협_사건제시,1
0,기관사칭,위협_사건제시 -> 통제_압박 -> 정보확보_인증 -> 추가지시_마무리 -> 금전요구 -> 권위_사칭,1
0,기관사칭,위협_사건제시 -> 정보확보_인증 -> 통제_압박 -> 금전요구 -> 추가지시_마무리 -> 권위_사칭,1
0,기관사칭,위협_사건제시 -> 권위_사칭 -> 정보확보_인증 -> 통제_압박 -> 추가지시_마무리,1
0,기관사칭,권위_사칭 -> 위협_사건제시 -> 추가지시_마무리 -> 정보확보_인증 -> 통제_압박 -> 금전요구,1
0,기관사칭,위협_사건제시 -> 추가지시_마무리 -> 정보확보_인증 -> 권위_사칭 -> 통제_압박,1
0,기관사칭,권위_사칭 -> 위협_사건제시 -> 정보확보_인증 -> 금전요구 -> 통제_압박 -> 추가지시_마무리,1
0,기관사칭,정보확보_인증 -> 위협_사건제시 -> 추가지시_마무리,1
0,기관사칭,위협_사건제시 -> 통제_압박 -> 정보확보_인증 -> 권위_사칭,1
0,기관사칭,통제_압박 -> 위협_사건제시 -> 정보확보_인증 -> 추가지시_마무리 -> 금전요구 -> 권위_사칭,1
0,기관사칭,위협_사건제시 -> 추가지시_마무리 -> 정보확보_인증 -> 권위_사칭 -> 금전요구 -> 통제_압박,1
0,기관사칭,위협_사건제시 -> 권위_사칭 -> 통제_압박 -> 정보확보_인증,1
0,기관사칭,통제_압박 -> 권위_사칭 -> 위협_사건제시 -> 추가지시_마무리,1
0,기관사칭,정보확보_인증 -> 위협_사건제시 -> 통제_압박 -> 권위_사칭 -> 추가지시_마무리,1
0,기관사칭,권위_사칭 -> 위협_사건제시 -> 통제_압박,1
0,기관사칭,위협_사건제시 -> 정보확보_인증 -> 금전요구 -> 권위_사칭,1
0,기관사칭,위협_사건제시 -> 권위_사칭 -> 추가지시_마무리 -> 정보확보_인증 -> 통제_압박 -> 금전요구,1
0,기관사칭,추가지시_마무리 -> 위협_사건제시 -> 정보확보_인증 -> 권위_사칭,1
0,기관사칭,정보확보_인증 -> 추가지시_마무리 -> 위협_사건제시 -> 권위_사칭 -> 통제_압박,1
0,기관사칭,추가지시_마무리 -> 위협_사건제시 -> 권위_사칭 -> 정보확보_인증,1
0,기관사칭,위협_사건제시 -> 정보확보_인증 -> 추가지시_마무리 -> 통제_압박 -> 권위_사칭 -> 금전요구,1
0,기관사칭,위협_사건제시 -> 정보확보_인증 -> 통제_압박,1
0,기관사칭,위협_사건제시 -> 통제_압박 -> 권위_사칭,1
0,기관사칭,권위_사칭 -> 위협_사건제시 -> 정보확보_인증 -> 통제_압박,1
0,기관사칭,위협_사건제시 -> 통제_압박 -> 정보확보_인증 -> 추가지시_마무리 -> 권위_사칭 -> 금전요구,1
0,기관사칭,추가지시_마무리 -> 정보확보_인증 -> 권위_사칭 -> 위협_사건제시 -> 통제_압박,1
0,기관사칭,위협_사건제시 -> 권위_사칭 -> 금전요구 -> 정보확보_인증 -> 추가지시_마무리 -> 통제_압박,1
0,기관사칭,권위_사칭 -> 추가지시_마무리 -> 정보확보_인증 -> 위협_사건제시 -> 통제_압박 -> 금전요구,1
0,기관사칭,위협_사건제시 -> 추가지시_마무리 -> 통제_압박 -> 정보확보_인증,1
0,기관사칭,위협_사건제시 -> 추가지시_마무리 -> 정보확보_인증 -> 권위_사칭 -> 통제_압박 -> 금전요구,1
0,기관사칭,권위_사칭 -> 통제_압박 -> 추가지시_마무리 -> 위협_사건제시 -> 정보확보_인증 -> 금전요구,1
0,기관사칭,위협_사건제시 -> 통제_압박 -> 추가지시_마무리 -> 정보확보_인증,1
0,기관사칭,정보확보_인증 -> 권위_사칭 -> 위협_사건제시 -> 추가지시_마무리 -> 통제_압박,1
0,기관사칭,위협_사건제시 -> 정보확보_인증 -> 권위_사칭,1
0,기관사칭,위협_사건제시 -> 정보확보_인증 -> 권위_사칭 -> 금전요구 -> 통제_압박 -> 추가지시_마무리,1
0,기관사칭,위협_사건제시 -> 권위_사칭 -> 추가지시_마무리 -> 정보확보_인증 -> 통제_압박,1
0,기관사칭,위협_사건제시 -> 정보확보_인증 -> 통제_압박 -> 추가지시_마무리,1
1,대출사기,추가지시_마무리 -> 대출권유_조건제시 -> 금전요구 -> 권위_사칭 -> 정보확보_인증 -> 통제_압박,1
1,대출사기,대출권유_조건제시 -> 추가지시_마무리 -> 통제_압박 -> 금전요구 -> 선입금_보증료,1
1,대출사기,대출권유_조건제시 -> 통제_압박 -> 금전요구,1
1,대출사기,금전요구 -> 선입금_보증료 -> 추가지시_마무리 -> 대출권유_조건제시,1
1,대출사기,추가지시_마무리 -> 통제_압박 -> 대출권유_조건제시,1
1,대출사기,추가지시_마무리 -> 대출권유_조건제시 -> 정보확보_인증,1
1,대출사기,통제_압박 -> 대출권유_조건제시 -> 금전요구 -> 선입금_보증료 -> 정보확보_인증,1
1,대출사기,권위_사칭 -> 대출권유_조건제시 -> 금전요구 -> 선입금_보증료 -> 통제_압박 -> 정보확보_인증 -> 추가지시_마무리,1
1,대출사기,금전요구 -> 통제_압박 -> 대출권유_조건제시 -> 추가지시_마무리,1
1,대출사기,대출권유_조건제시 -> 추가지시_마무리 -> 통제_압박 -> 금전요구 -> 권위_사칭,1
1,대출사기,금전요구 -> 정보확보_인증 -> 통제_압박 -> 추가지시_마무리,1
1,대출사기,위협_사건제시 -> 정보확보_인증 -> 추가지시_마무리 -> 통제_압박 -> 권위_사칭 -> 대출권유_조건제시,1
1,대출사기,대출권유_조건제시 -> 추가지시_마무리 -> 정보확보_인증 -> 위협_사건제시 -> 통제_압박 -> 권위_사칭 -> 금전요구,1
1,대출사기,대출권유_조건제시 -> 추가지시_마무리 -> 정보확보_인증 -> 권위_사칭 -> 통제_압박 -> 금전요구 -> 선입금_보증료,1
1,대출사기,추가지시_마무리 -> 정보확보_인증 -> 통제_압박 -> 대출권유_조건제시 -> 금전요구 -> 권위_사칭 -> 위협_사건제시,1
1,대출사기,추가지시_마무리 -> 대출권유_조건제시 -> 정보확보_인증 -> 통제_압박 -> 권위_사칭 -> 위협_사건제시 -> 금전요구,1
1,대출사기,대출권유_조건제시 -> 정보확보_인증 -> 추가지시_마무리 -> 통제_압박 -> 금전요구 -> 위협_사건제시 -> 권위_사칭,1
1,대출사기,대출권유_조건제시 -> 정보확보_인증 -> 추가지시_마무리 -> 통제_압박 -> 금전요구 -> 권위_사칭 -> 선입금_보증료 -> 위협_사건제시,1
1,대출사기,추가지시_마무리 -> 권위_사칭 -> 통제_압박 -> 정보확보_인증 -> 금전요구 -> 위협_사건제시 -> 대출권유_조건제시,1
1,대출사기,금전요구 -> 선입금_보증료 -> 정보확보_인증 -> 통제_압박 -> 추가지시_마무리,1
1,대출사기,추가지시_마무리 -> 통제_압박 -> 정보확보_인증 -> 대출권유_조건제시 -> 금전요구 -> 위협_사건제시,1
1,대출사기,정보확보_인증 -> 추가지시_마무리 -> 금전요구 -> 권위_사칭 -> 위협_사건제시 -> 통제_압박 -> 대출권유_조건제시,1
1,대출사기,대출권유_조건제시 -> 추가지시_마무리 -> 정보확보_인증 -> 금전요구 -> 선입금_보증료 -> 통제_압박,1
2,납치빙자,위협_사건제시 -> 추가지시_마무리 -> 통제_압박 -> 납치협박 -> 금전요구 -> 권위_사칭 -> 통화통제,1
2,납치빙자,통제_압박 -> 납치협박 -> 권위_사칭 -> 금전요구 -> 추가지시_마무리 -> 위협_사건제시,1
2,납치빙자,권위_사칭 -> 추가지시_마무리 -> 통제_압박 -> 금전요구 -> 정보확보_인증,1
2,납치빙자,추가지시_마무리 -> 정보확보_인증 -> 금전요구 -> 권위_사칭 -> 통제_압박,1
2,납치빙자,정보확보_인증 -> 통제_압박 -> 금전요구 -> 추가지시_마무리 -> 납치협박,1
2,납치빙자,통제_압박 -> 권위_사칭 -> 위협_사건제시 -> 정보확보_인증 -> 금전요구,1
